id,name,label,description,notes
1,abEnConsumption,AB EN Consumption,EN consumed by Assault Boost.,
2,abThrust,AB Thrust,Thrust of Assault Boost movement.\n\nHigher values correspond to swifter rush attacks.,
3,accumulativeImpact,Accumulative Impact,"Accumulative ACS overload performance.\n\nThis corresponds to sustained ACS strain, which is alleviated over time.",
4,ammunitionCost,Ammunition Cost,"Cost per round fired.\n\nAt the end of each mission, the total number of rounds fired is used to calculate ammunition expenses.",
5,antiEnergyDefense,Anti-Energy Defense,Defense rating against energy damage.,
6,antiExplosiveDefense,Anti-Explosive Defense,Defense rating against explosive/incendiary damage.,
7,antiKineticDefense,Anti-Kinetic Defense,Defense rating against kinetic damage.,
8,ap,AP,Resilience of the part.,
9,armsLoadLimit,Arms Load Limit,"Maximum weight arms can carry without compromising on stable operating performance.\n\nHigher values make it easier to manipulate arm weapons, mitigating dips in target tracking and recoil control caused by overload.",
10,atkHeatBuildup,ATK Heat Buildup,Heat buildup when attacking.\n\nOverheat occurs when value exceeds the maximum tolerance.,
11,attackCount,Attack Count,Number of projectiles/submunitions per attack.,
12,attackPower,Attack Power,"Damage-dealing performance.\n\nDamage output can decrease due to factors such as attenuation over distance, or when ricocheting occurs.",
13,attitudeStability,Attitude Stability,"The maximum load the ACS can support.\n\nThe higher this value, the less likely the AC is to stagger.",
14,blastRadius,Blast Radius,Size of resulting explosions.,
15,boosterEfficiencyAdj,Booster Efficiency Adj.,"Adjustment to booster EN efficiency.\n\nThe higher this value, the less EN consumed by Quick Boost.",
16,chargeTime,Charge Time,The time it takes to complete charging.,
17,chgAccumImpact,Chg. Accum. Impact,"Accumulative ACS overload performance for charge attacks.\n\nThis corresponds to sustained ACS strain, which is alleviated over time.",
18,chgAmmoConsumption,Chg. Ammo Consumption,Ammunition consumed by charge attacks.,
19,chgAttackCount,Chg. Attack Count,Number of projectiles/submunitions per charge attack.,
20,chgAttackPower,Chg. Attack Power,"Damage-dealing performance for charge attacks.\n\nDamage output can decrease due to factors such as attenuation over distance, or when ricocheting occurs.",
21,chgBlastRadius,Chg. Blast Radius,Size of explosions resulting from charge attacks.,
22,chgEnLoad,Chg. EN Load,EN load when charging.\n\nEN is reduced if this value exceeds supply.,
23,chgHeatBuildup,Chg. Heat Buildup,Heat buildup when using charge attacks.\n\nOverhead occurs when value exceeds the maximum tolerance.,
24,chgImpact,Chg. Impact,"ACS overload performance for charge attacks.\n\nThis corresponds to immediate ACS strain, which resets within a short period of time.",
25,closeRangeAssist,Close-Range Assist,Aiming assistance performance at close range.\n\nHigher values improve aim when targeting enemies at close range (within 130 m).,
26,consecutiveHits,Consecutive Hits,Number of chain attacks possible with additional inputs.,
27,cooling,Cooling,Speed at which head buildup is reduced when cooling weapon.,
28,damageMitigation,Damage Mitigation,Ability to mitigate incoming damage while performing a regular guard.,
29,deploymentRange,Deployment Range,Area in which shield is capable of blocking attacks.,
30,directHitAdjustment,Direct Hit Adjustment,Damage multiplier when attacking a staggered enemy.,
31,dplyHeatBuildup,Dply. Heat Buildup,Heat buildup when deploying shield.\n\nOverheating occurs when value exceeds the maximum tolerance.,
32,duration,Duration,Duration of the barrier produced.,
33,effectiveRange,Effective Range,Range at which attacks are effective.\n\nThis is based on the armor of standard ACs and can vary depending on the defenses of the target.,
34,effectRange,Effect Range,"Range corresponding to the furthest reach of explosions.\n\nPower and impact of the explosion are reduced at this range, but enemy fire is still cancelled out.",
35,enCapacity,EN Capacity,Total amount of EN available for use.\n\nHigher values enable heavy use of EN-consuming actions.,
36,energyFirearmSpec,Energy Firearm Spec.,"Efficiency of EN output diverted to ranged energy weapons.\n\nHigher values correspond to greater attack power and reduced charging time for weapons affected by this spec.\n\nThis spec does not affect weapons with independent EN output systems, such as melee weapons or plasma missile launchers.",
37,enLoad,EN Load,EN load of the part.,
38,enOutput,EN Output,"Generator EN output.\n\nHigher values mean that the generator can support more high-burden parts, with the leftover output improving EN recovery speed.",
39,enRecharge,EN Recharge,"The ability of the generator to initiate EN recharge.\n\nThe higher this value, the more quickly the generator commences recovery after an EN-consuming action.",
40,firearmSpecialization,Firearm Specialization,Suitability for using firearms.\n\nHigher values improve target tracking performance.,
41,fullChgAccumImpact,Full Chg. Accum. Impact,"Accumulative ACS overload performance for full-charge attacks.\n\nThis corresponds to sustained ACS strain, which is alleviated over time.",
42,fullChgAmmoConsump,Full Chg. Ammo Consump.,Ammunition consumed by full-charge attacks.,
43,fullChgAttackPower,Full Chg. Attack Power,"Damage-dealing performance of full-charge attacks.\n\nDamage output can decrease due to factors such as attenuation over distance, or when ricocheting occurs.",
44,fullChgHeatBuildup,Full Chg. Heat Buildup,Heat buildup when using full-charge attacks.\n\nOverhead occurs when value exceeds the maximum tolerance.,
45,fullChgImpact,Full Chg. Impact,"ACS overload performance for full-charge attacks.\n\nThis corresponds to immediate ACS strain, which resets within a short period of time.",
46,fullChgTime,Full Chg. Time,Time it takes to reach full charge.,
47,generatorOutputAdj,Generator Output Adj.,"Adjustment to generator EN output.\n\nThe higher this value, the greater the final EN output of the generator.",
48,generatorSupplyAdj,Generator Supply Adj.,"Adjustment to generator EN supply performance.\n\nThe higher this value, the more quickly the generator resumes supply after an EN-consuming action.",
49,guidance,Guidance,Tracking performance of missiles and other homing weapons.,
50,highSpeedPerf,High Speed Perf.,Speed while boost is engaged.,
51,homingLockTime,Homing Lock Time,Time it takes to acquire lock-on for missiles and other homing weapons.\n\nAchieve optimal tracking performance by keeping enemies in your sights for this duration.,
